customer_id,kmeans_cluster
40168,5.0
13803,0.0
15858,1.0
26159,3.0
44390,5.0
30626,0.0
13597,0.0
28137,2.0
20894,3.0
1350,3.0
20116,2.0
48048,5.0
24173,1.0
5715,0.0
48086,7.0
17715,0.0
12267,2.0
1224,0.0
27752,2.0
48406,2.0
33738,2.0
12610,5.0
27379,2.0
6228,0.0
20600,1.0
6485,1.0
1528,0.0
11791,0.0
25752,1.0
11560,0.0
30102,6.0
33938,2.0
29451,5.0
45413,4.0
32109,1.0
26394,0.0
24795,2.0
15351,1.0
30168,0.0
23964,0.0
47710,6.0
47418,6.0
35873,1.0
27189,3.0
8190,5.0
46991,5.0
2816,0.0
31645,2.0
29739,0.0
21819,1.0
17669,0.0
49303,2.0
37229,2.0
25940,5.0
20125,5.0
32785,6.0
31838,7.0
23998,4.0
47644,2.0
23301,5.0
40807,6.0
33205,6.0
46793,6.0
12182,3.0
48607,2.0
46748,4.0
15560,0.0
18464,3.0
33179,0.0
30444,3.0
16031,3.0
21329,1.0
31104,0.0
27702,5.0
48360,2.0
43287,2.0
15298,3.0
21318,5.0
15483,0.0
4234,3.0
44210,6.0
8019,1.0
6229,0.0
34796,6.0
11679,1.0
48060,6.0
46913,2.0
3433,3.0
14772,5.0
8988,1.0
40712,6.0
35711,6.0
7922,5.0
28475,0.0
45129,2.0
5753,3.0
32976,0.0
47139,5.0
26282,1.0
39798,6.0
47342,6.0
30275,3.0
34001,5.0
46299,2.0
4876,1.0
12777,0.0
33438,3.0
35747,6.0
13288,3.0
3053,1.0
24648,0.0
36914,2.0
22964,3.0
4072,0.0
23102,0.0
44387,2.0
32484,5.0
13793,1.0
42903,5.0
28454,0.0
19201,0.0
1615,0.0
32428,5.0
8834,1.0
5326,1.0
42118,2.0
41144,5.0
7302,3.0
34453,0.0
44902,6.0
47157,2.0
30006,6.0
40592,6.0
29713,1.0
23287,5.0
26980,6.0
23838,0.0
38010,3.0
9072,3.0
35548,2.0
4093,0.0
46609,2.0
13823,3.0
30107,2.0
5054,0.0
4669,0.0
44021,2.0
4351,0.0
24255,5.0
